0 192 0;
0 144 52 100;
2.27273 255 4;
625 144 52 0;
625 144 52 100;
750 144 52 0;
875 144 47 100;
1500 144 47 0;
1625 144 47 100;
1875 144 47 0;
2000 144 51 100;
2875 144 51 0;
3125 144 51 100;
3375 144 51 0;
3375 144 51 100;
3750 144 51 0;
3875 144 51 100;
4000 144 51 0;
4000 144 51 100;
4625 144 51 0;
4625 144 52 100;
4750 144 52 0;
4875 144 47 100;
5500 144 47 0;
5625 144 47 100;
5750 144 47 0;
6000 144 59 100;
6125 144 59 0;
6500 144 56 100;
7875 144 54 100;
7875 144 56 0;
8000 144 54 0;
8002.27 255 54;
