0 192 0;
2.27273 255 4;
375 144 60 100;
500 144 60 0;
750 144 55 100;
875 144 53 100;
875 144 55 0;
1000 144 53 0;
1000 144 55 100;
1125 144 55 0;
1250 144 57 100;
1375 144 55 100;
1375 144 57 0;
1500 144 53 100;
1500 144 55 0;
1625 144 53 0;
1625 144 64 100;
1750 144 64 0;
2000 144 60 100;
2375 144 60 0;
2375 144 60 100;
2500 144 60 0;
2750 144 60 100;
2875 144 60 0;
2875 144 64 100;
3250 144 57 100;
3250 144 64 0;
3375 144 55 100;
3375 144 57 0;
3500 144 55 0;
3500 144 64 100;
3625 144 64 0;
3625 144 64 100;
3750 144 64 0;
3875 144 60 100;
4000 144 60 0;
4000 144 60 100;
4206.82 144 60 0;
4209.09 255 60;
