0 192 0;
0 144 42 100;
2.27273 255 4;
2000 144 42 0;
2250 144 40 100;
2375 144 40 0;
2750 144 40 100;
2875 144 40 0;
3250 144 40 100;
3375 144 40 0;
3375 144 40 100;
3500 144 40 0;
3500 144 51 100;
3625 144 40 100;
3625 144 51 0;
3750 144 40 0;
3875 144 40 100;
4000 144 40 0;
4250 144 40 100;
4375 144 40 0;
4750 144 40 100;
4875 144 40 0;
5250 144 40 100;
5375 144 40 0;
5375 144 40 100;
5500 144 40 0;
5500 144 51 100;
5625 144 40 100;
5625 144 51 0;
5750 144 40 0;
5875 144 40 100;
6000 144 40 0;
6250 144 40 100;
6375 144 40 0;
6750 144 40 100;
6875 144 40 0;
7250 144 40 100;
7375 144 40 0;
7375 144 40 100;
7500 144 40 0;
7500 144 51 100;
7625 144 40 100;
7625 144 51 0;
7750 144 40 0;
7875 144 40 100;
8000 144 40 0;
8250 144 40 100;
8375 144 40 0;
8750 144 40 100;
8875 144 40 0;
9250 144 40 100;
9375 144 40 0;
9375 144 40 100;
9500 144 40 0;
9500 144 51 100;
9625 144 40 100;
9625 144 51 0;
9750 144 40 0;
9875 144 40 100;
10000 144 40 0;
10250 144 42 100;
10375 144 42 0;
10377.3 255 42;
